### POWER

	"thrusting energy" 1.55
	"thrusting heat" 2.9
	"reverse thrust" 8.2
	"reverse thrusting energy" 0.9
	"reverse thrusting heat" 1.55
	"turn" 479.7
	"turning energy" 0.6
	"turning heat" 1.4
	"flare sprite" "effect/fissionflare"
		"frame rate" 30
		"rewind"
	"flare sound" "atomic small"
	"steering flare sprite" "effect/fissionflare"
		"frame rate" 30
		"rewind"
	"steering flare sound" "atomic tiny"
	description "A much smaller cousin of the Fusion Drive, it relies on fission instead of fusion to function, providing the necessary power generation and thrust to drive the Heavy Ion Cyclotron."

outfit "SRR Aolilatse Drive"
	"display name" "Aolilatse Drive"
	category "Engines"
	series "Engines"
	index 13033
	cost 42169000
	thumbnail "outfit/drive aolilatse"
	"mass" 460
	"outfit space" -460
	"engine capacity" -219
	"weapon capacity" -19
	"energy generation" 54
	"heat generation" 156
	"thrust" 270.75
	"thrusting energy" 11
	"thrusting heat" 33
	"reverse thrust" 63.9
	"reverse thrusting energy" 4.9
	"reverse thrusting heat" 13.3
	"turn" 3744.0
	"turning energy" 4.55
	"turning heat" 12.35
	"flare sprite" "effect/fusionflare"
		"frame rate" 30
		"rewind"
	"flare sound" "atomic huge"
	"steering flare sprite" "effect/fusionflare"
		"frame rate" 30
		"rewind"
	"steering flare sound" "atomic medium"
	"reverse flare sprite" "effect/fusionflare"
		"frame rate" 30
		"rewind"
	"reverse flare sound" "atomic large"
	"unplunderable" 1
	description "The Sheragi engines are much more than simple tubes spewing fire; they are a collection of interdependent devices, providing increased efficiency at the cost of modularity. These include a hyperdrive, an enormous fusion reactor, and the most powerful plasma engines you've ever seen. It's all examples of relatively simple technology, but they have been refined and taken to their extreme. The engines are fundamentally connected to the fusion reactor, increasing their thrust even further and thereby allowing the Emerald Sword to fly at impressive speeds, traveling through interstellar space with relative ease."


### SENSORICS & EWS

outfit "SRR Electronic Warfare System"
	"display name" "Electronic Warfare System"
	category "Systems"
	series "Scanners"
	index 13011
	cost 3400000
	thumbnail "outfit/sheragi ews"
	"mass" 6
	"outfit space" -6
	"radar jamming" 10
	"tactical scan power" 100
	"scan interference" 2
	"energy consumption" .2
	description "This device provides radar jamming and a whole suite of electronic warfare, gathering data about the battlefield in real time and enhancing a ship's combat capabilities. It was an essential item for every Sheragi warship, and the technique it uses is still difficult to counter to this very day."


### Weapons

outfit "SRR Dragonflame Cannon"
	"display name" "Dragonflame Cannon"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 13021
	cost 150000000
	thumbnail "outfit/dragonflame"
	"mass" 156
	"outfit space" -156
	"weapon capacity" -156
	"required crew" 10
	"gun ports" -1
	"spinal mount" -1
	weapon
		sound "dragonflame"
		icon "icon/dragonflame"
		"fire effect" "dragonflame"
		"hit effect" "bright hit"
		"hit effect" "dragonflame plasma" 30
		"hit effect" "dragonflame debris" 50
		"velocity" 2000
		"lifetime" 1
		"reload" 180
		"firing energy" 16000
		"firing fuel" 200
		"firing heat" 40000
		"firing force" 1500
		"hit force" 3000
		"shield damage" 25000
		"hull damage" 15000
		"heat damage" 50000
		"piercing" 0.4
		"penetration count" 20
	description "The ancient Sheragi superweapon is simple in concept, but the cost involved in developing something like it is exorbitant. It's hard to envision what could have motivated the creation of such a thing. It uses an obscene amount of energy to trigger an extremely powerful thermonuclear reaction, directing most of the energy from the resulting explosion forwards in a devastatingly powerful beam of gamma radiation."

outfit "SRR Sheragi Anti-Missile"
	"display name" "Sheragi Anti-Missile"
	category "Turrets"
	series "Anti-Missile"
	index 13011
	cost 845000
	thumbnail "outfit/sheragiam"
	"mass" 35
	"outfit space" -35
	"weapon capacity" -35
	"turret mounts" -1
	weapon
		"hardpoint sprite" "hardpoint/sheragiam"
		"hardpoint offset" 1.5
		"hit effect" "sheragiam"
		"anti-missile" 200
		"velocity" 450
		"lifetime" 1
		"reload" 60
		"firing energy" 220
		"firing heat" 440
	description "The Sheragi Anti-Missile fires an extremely powerful laser pulse capable of obliterating any missile in a single shot, but it comes at the expense of a long recharge time."

outfit "SRR Particle Waveform Turret"
	"display name" "Particle Waveform Turret"
	category "Turrets"
	series "Turrets"
	index 13011
	cost 1450000
	thumbnail "outfit/pwave turret"
	"mass" 45
	"outfit space" -45
	"weapon capacity" -45
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/pwavecannon"
			"frame rate" 20
		sound "pwave"
		"hardpoint sprite" "hardpoint/pwavehp"
		"hardpoint offset" 11
		"fire effect" "lightning flare"
		"hit effect" "pwave impact"
		"inaccuracy" 1.5
		"turret turn" 1.2
		"velocity" 50
		"lifetime" 18
		"reload" 60
		"firing energy" 180
		"firing heat" 651
#		"shield damage" 95
#		"hull damage" 270
		"shield damage" 120
		"hull damage" 300
		"heat damage" 224
		"ion damage" 4.2
		"scrambling damage" 4.2
	description "This ancient Sheragi turret accelerates a dense packet of electrons that, while very ineffective against any kind of shielding, has a very long range and disrupts electrical systems. By the nature of these weapons, one can deduce that their tactics likely involved using the Dragonflame Cannon at long range to break the enemy shields and finishing them off at relatively close range with the Particle Waveform Turrets."

outfit "SRR Shard Fabricator"
	"display name" "Shard Fabricator"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 13011
	cost 330000
	thumbnail "outfit/shard"
	"mass" 10
	"outfit space" -10
	"weapon capacity" -7
	"fuel capacity" 36
	"gun ports" -1
	"operating costs" 150
	weapon
		sprite "projectile/shardactive"
			"frame rate" 30
			"random start frame"
		sound "grab-strike"
		icon "icon/shard"
		"fire effect" "basic launch"
		"hit effect" "shard impact"
		"submunition" "Shard inactive"
		"inaccuracy" 80
		"velocity" 15
		"lifetime" 40
		"random lifetime" 20
		"reload" 60
		"burst reload" 2
		"burst count" 6
		"firing energy" 40
		"firing fuel" 2
		"firing heat" 60
		"acceleration" 1.5
		"drag" .1
		"turn" 8
		"homing"
			"leading"
			"throttle control"
		"radar tracking" .8
		"missile strength" 1
	description "To reduce reliance on supply chains during prolonged war time, this outfit contains specialized fabricators that produce simple kinetic missiles from stock materials and a small amount of stored fuel; their guidance system merely receives data from the shipboard radar. The missiles are fired in volleys of six at a time from each launcher, making them very effective at overwhelming point defenses despite their fragility. However, the low amount of fuel they carry means they can only home in on the target for about a second before they turn into unguided ammunition. Because they are manufactured on the spot, it takes a long time to reload."

outfit "SRR Heavy Ion Cyclotron"
	"display name" "Heavy Ion Cyclotron"
	category "Guns"
	series "Guns"
	index 13011
	cost 1650000
	thumbnail "outfit/hion"
	"mass" 33
	"outfit space" -33
	"weapon capacity" -21
	"gun ports" -1
	weapon
		sprite "projectile/hion"
			"frame rate" 30
		sound "hion"
		"hit effect" "proton impact" 3
		"submunition" "Heavy Ion Fragment" 3
		"velocity" 28
		"lifetime" 1
		"reload" 1
		"firing energy" 2.9
		"firing heat" 12.2
		"firing force" 13.5
	description "The main weapon of the Sheragi fighters is a particle accelerator not unlike the ones used by the Republic Navy and the Syndicate. However, this one produces a dense stream of heavy metal ions instead of bursts of lighter ones, resulting in high damage with intense recoil. Because the particle accelerator itself can be mounted elsewhere, it saves on weapon space."
